employee_name,user_id,O,C,E,A,N
Lawrence James Burt,LJB1028,34,35,37,25,38
Adena Jocelyn Skinner,AJS2428,15,13,21,20,16
Claire Jessica Mitchell,CJM2288,39,14,18,24,32
Ivory Portia Boone,IPB0918,26,17,36,18,29
Dara Unity Flowers,DUF2803,23,19,21,20,27
Florence Kirby Chapman,FKC2641,35,37,20,33,24
Barrett Kenneth Cooper,BKC3488,44,37,19,20,31
Grant Jonathan Tucker,GJT1014,43,34,14,19,39
Jamal Bevis Oconnor,JBO3029,38,46,15,19,20
Arsenio Forrest Ortiz,AFO2782,31,37,21,36,23
Kathleen Remedios Pittman,KRP1782,50,16,27,30,29
Cain Seth Buckley,CSB3911,48,39,42,30,27
Blaze Tarik Bernard,BTB2604,30,41,32,19,24
Karyn Fay Wooten,KFW3976,24,36,22,40,28
Britanni Leslie Carson,BLC2496,36,36,43,42,31
Forrest Isaac Howard,FIH2211,45,21,47,15,27
Zelda Jael Hammond,ZJH3375,34,39,18,35,30
Bell Lael Ortega,BLO3340,17,17,22,46,22
Keelie Unity Hines,KUH3244,10,19,12,16,24
Reed Tate Wade,RTW0582,33,47,36,40,33
Genevieve Gisela Ayala,GGA2825,16,29,14,30,21
Lysandra Clio Bates,LCB1518,20,41,19,19,34
Rana Buffy Hutchinson,RBH0917,42,18,19,38,27
Indigo Danielle Caldwell,IDC2122,39,38,11,43,35
Glenna Echo Mcclain,GEM3343,38,17,45,35,36
Fallon Jana Farmer,FJF2272,21,33,10,47,33
Yuli Philip Lyons,YPL2128,37,37,41,36,29
Renee Jena Kent,RJK1160,43,12,45,20,24
Brett Arden Dawson,BAD1007,40,30,41,13,21
Ayanna Chava Keith,ACK1629,16,43,19,10,25
Blaine Quintessa Wood,BQW1883,15,17,18,30,18
Jemima Kai Garner,JKG3642,40,19,17,21,27
Nissim Jordan Stone,NJS1408,23,19,19,22,34
Lane Lionel Massey,LLM3025,41,47,33,18,30
Melissa Kristen Pitts,MKP0031,10,28,42,34,33
Sheila Paula Hardy,SPH0712,19,23,21,21,30
Basil Rahim Hampton,BRH2813,32,35,12,14,28
Jamal Rafael Church,JRC0841,32,34,46,16,38
Dennis Rooney Mercer,DRM2932,40,41,39,39,25
Tarik Upton Olsen,TUO2562,50,50,44,16,31
Cathleen Karina Rodriquez,CKR3710,17,24,39,30,29
Vanna Jolene Phillips,VJP3337,36,12,10,34,36
